#TOD, VSZ_CPL_N_0, RSS_CPL_N_0, VSZ_ATM_N_0, RSS_ATM_N_0, VSZ_LND_N_0, RSS_LND_N_0, VSZ_ICE_N_0, RSS_ICE_N_0, VSZ_OCN_N_0, RSS_OCN_N_0, VSZ_GLC_N_0, RSS_GLC_N_0, VSZ_ROF_N_0, RSS_ROF_N_0, VSZ_WAV_N_0, RSS_WAV_N_0, VSZ_IAC_N_0, RSS_IAC_N_0
20110316.00000,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523
20110318.00000,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523
20110320.00000,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523,   129201.898,      189.523
20110320.00000,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527
20110320.00000,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527
20110322.00000,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527
20110324.00000,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527
20110324.00000,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527,   129201.898,      189.527
20110324.00000,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531
20110326.00000,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531
20110328.00000,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531
20110328.00000,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531
20110328.00000,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531
20110330.00000,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531
20110332.00000,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531,   129201.898,      189.531
20110400.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110402.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110404.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110404.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110404.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110406.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110408.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110408.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110408.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110410.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110412.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110412.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110412.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110414.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110416.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110416.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110416.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110418.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110420.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110420.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110420.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110422.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110424.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110424.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110424.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110426.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
20110428.00000,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543,   129201.898,      189.543
