,observed_Q,basin_ppt,basin_tmin,basin_tmax,model_Q,basin_soil_moist,basin_snowmelt,basin_actet,basin_potet
331,2.5775462962962965e-06,0.0,263.53427,263.53427,1.1102574e-05,0.952021,13.836646,1.04852646e-07,1.04852646e-07
332,2.5775462962962965e-06,0.0,265.99948,265.99948,5.854052e-06,0.9979066,18.6172,1.448902e-07,1.448902e-07
333,1.443287037037037e-06,0.0,264.51917,264.51917,5.190752e-06,1.0073465,20.655127,1.4826973e-07,1.4826973e-07
334,1.1342592592592592e-06,0.0,267.5834,267.5834,5.1873462e-06,1.0084468,20.884245,1.3413332e-07,1.3413332e-07
335,1.6493055555555557e-06,3.2337455e-05,273.4917,273.4917,5.597675e-06,0.98814505,23.664232,2.4066802e-08,2.4066802e-08
336,1.1342592592592592e-06,4.5157364e-07,273.32468,273.32468,8.933083e-06,0.9783424,28.10222,5.619119e-09,5.619119e-09
337,1.340277777777778e-06,0.0,268.91507,268.91507,1.262154e-05,0.97533387,27.83519,6.337772e-08,6.337772e-08
338,8.252314814814815e-07,0.0,269.76672,269.76672,1.1182767e-05,0.9744724,28.290735,1.5276827e-07,1.5276827e-07
339,1.340277777777778e-06,0.0,273.24228,273.24228,1.7846514e-05,0.96829593,26.679403,1.0327524e-07,1.0327524e-07
340,1.2372685185185186e-06,0.0,272.8414,272.8414,2.6262247e-05,0.9546583,24.79942,5.8403334e-08,5.8403334e-08
341,8.252314814814815e-07,0.0,271.81052,271.81052,2.3263432e-05,0.94985,24.721025,1.0670075e-07,1.0670075e-07
342,1.1342592592592592e-06,0.0,273.27017,273.27017,2.5233217e-05,0.940739,23.780548,1.1855686e-07,1.1855686e-07
343,3.2986111111111115e-06,0.0,271.76987,271.76987,2.748201e-05,0.92682624,22.649115,9.160265e-08,9.160265e-08
344,7.0104166666666665e-06,0.00017388808,274.42844,274.42844,0.00015477049,0.9858305,23.320635,9.79821e-11,9.79821e-11
345,8.659722222222222e-06,2.2594466e-07,272.91675,272.91675,0.00021095827,0.95444137,21.965212,2.0340831e-09,2.0340831e-09
346,9.587962962962963e-06,1.8484825e-06,273.17075,273.17075,0.000109613015,0.9257362,22.794329,4.421516e-10,4.421516e-10
347,8.350694444444445e-06,4.0401465e-06,273.55704,273.55704,7.0614435e-05,0.90390676,26.36576,9.437886e-10,9.437886e-10
348,8.556712962962962e-06,0.0,271.90048,271.90048,5.5301476e-05,0.8950101,26.992693,3.468592e-08,3.468592e-08
349,5.361111111111112e-06,0.0,268.79263,268.79263,3.7872196e-05,0.89143914,27.994375,3.1654476e-08,3.1654476e-08
350,5.8761574074074075e-06,1.0892759e-06,271.67316,271.67316,2.7819508e-05,0.888601,38.416187,1.7919925e-10,1.7919925e-10
351,3.6087962962962966e-06,0.0,266.8618,266.8618,2.2139262e-05,0.8845503,43.164925,7.498362e-09,7.498362e-09
352,2.474537037037037e-06,0.0,261.60266,261.60266,1.7914641e-05,0.88676596,43.43409,4.229872e-08,4.229872e-08
353,2.474537037037037e-06,0.0,259.2778,259.2778,1.4232272e-05,0.88749,43.937866,3.828583e-08,3.828583e-08
354,1.2372685185185186e-06,0.0,267.1012,267.1012,1.21263065e-05,0.88720787,44.21069,3.8304734e-08,3.8304734e-08
355,1.03125e-06,0.0,267.74976,267.74976,1.0971922e-05,0.88557136,44.31118,3.3280553e-08,3.3280553e-08
356,1.03125e-06,0.0,268.9982,268.9982,9.894509e-06,0.8855742,44.44104,3.3585902e-08,3.3585902e-08
357,1.1342592592592592e-06,0.0,273.11856,273.11856,9.276758e-06,0.8854695,44.45629,3.518975e-08,3.518975e-08
358,9.282407407407407e-07,0.0,266.0662,266.0662,8.6032705e-06,0.88523024,44.453213,6.484661e-08,6.484661e-08
359,6.180555555555556e-07,0.0,262.69742,262.69742,7.650032e-06,0.88517314,44.780262,1.96342e-08,1.96342e-08
360,6.180555555555556e-07,0.0,267.324,267.324,7.14354e-06,0.8851122,46.488403,2.5658238e-09,2.5658238e-09
361,4.12037037037037e-07,0.0,259.9779,259.9779,6.521721e-06,0.88504004,48.21618,2.0215253e-08,2.0215253e-08
362,3.090277777777778e-07,0.0,258.40753,258.40753,5.8272444e-06,0.8849911,48.900223,2.6757428e-08,2.6757428e-08
363,4.12037037037037e-07,0.0,263.53525,263.53525,5.5071014e-06,0.88493854,49.261627,4.9533085e-08,4.9533085e-08
364,4.12037037037037e-07,0.0,262.43268,262.43268,5.2543915e-06,0.88488203,49.58571,5.04949e-08,5.04949e-08
