#TOD, VSZ_CPL_N_0, RSS_CPL_N_0, VSZ_ATM_N_0, RSS_ATM_N_0, VSZ_LND_N_0, RSS_LND_N_0, VSZ_ICE_N_0, RSS_ICE_N_0, VSZ_OCN_N_0, RSS_OCN_N_0, VSZ_GLC_N_0, RSS_GLC_N_0, VSZ_ROF_N_0, RSS_ROF_N_0, VSZ_WAV_N_0, RSS_WAV_N_0, VSZ_IAC_N_0, RSS_IAC_N_0
20110300.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110302.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110304.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110304.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110304.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110306.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110308.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110308.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110308.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110310.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110312.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110312.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110312.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110314.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110316.00000,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539,   129233.938,      221.539
20110316.00000,   129233.938,      221.555,   129233.938,      221.555,   129233.938,      221.555,   129233.938,      221.555,   129233.938,      221.555,   129233.938,      221.555,   129233.938,      221.555,   129233.938,      221.555,   129233.938,      221.555
20110316.00000,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559
20110318.00000,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559
20110320.00000,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559,   129233.938,      221.559
20110320.00000,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562
20110320.00000,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562
20110322.00000,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562
20110324.00000,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562
20110324.00000,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562,   129233.938,      221.562
20110324.00000,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566
20110326.00000,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566
20110328.00000,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566
20110328.00000,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566
20110328.00000,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566
20110330.00000,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566
20110332.00000,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566,   129233.938,      221.566
20110400.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
